Linux 6.8.0-90-generic (theredhothabanero) 	14.12.2025 	_x86_64_	(8 CPU)

17:38:10     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:39:06     all    1,14    0,00    0,63    0,63    0,00    0,06    0,00    0,00    0,00   97,54
17:39:06       0    1,01    0,00    0,50    0,50    0,00    0,50    0,00    0,00    0,00   97,49
17:39:06       1    0,00    0,00    0,50    0,00    0,00    0,00    0,00    0,00    0,00   99,50
17:39:06       2    1,51    0,00    0,50    0,00    0,00    0,00    0,00    0,00    0,00   97,99
17:39:06       3    1,52    0,00    1,02    0,00    0,00    0,00    0,00    0,00    0,00   97,46
17:39:06       4    0,00    0,00    1,01    1,01    0,00    0,00    0,00    0,00    0,00   97,98
17:39:06       5    1,02    0,00    0,51    0,00    0,00    0,00    0,00    0,00    0,00   98,48
17:39:06       6    2,03    0,00    0,51    3,55    0,00    0,00    0,00    0,00    0,00   93,91
17:39:06       7    2,03    0,00    0,51    0,00    0,00    0,00    0,00    0,00    0,00   97,46

