procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 867304 4736884  14908 693384  318    0   500    52  353  331  0  0 100  0  0
 0  0 867304 4736884  14908 693496    0    0     0     8  194  126  0  0 100  0  0
 0  0 867304 4736632  14908 693496  112    0   112    18  330  286  0  0 100  0  0
 0  0 867304 4736632  14916 693488    0    0     0    14  179  107  0  0 100  0  0
 0  0 867304 4736664  14916 693500    0    0     0     8  225  128  0  0 100  0  0
 0  0 867304 4736664  14916 693500    4    0     4     0  209  126  0  0 100  0  0
 0  0 867304 4736664  14924 693492    0    0     0    14  175  101  0  0 100  0  0
 0  0 867304 4736664  14924 693500    4    0     4     6  211  120  0  0 100  0  0
 0  0 867304 4736664  14924 693504    6    0     6     0  213  124  0  0 100  0  0
 0  0 867304 4736664  14932 693504    0    0     0    14  180  106  0  0 100  0  0
 0  0 867304 4736664  14932 693504    0    0     0     8  174   92  0  0 100  0  0
 0  0 867304 4736664  14932 693504   12    0    12     0  209  125  0  0 100  0  0
 0  0 867304 4736664  14940 693496   10    0    10    14  200  153  0  0 100  0  0
 0  0 867304 4736664  14940 693508    0    0     0     8  167  102  0  0 100  0  0
 0  0 867304 4736440  14940 693508    0    0     0     0  179  103  0  0 100  0  0
 0  0 867304 4736440  14948 693580   50    0    86    14  222  154  0  0 100  0  0
 0  0 867304 4736440  14948 693580    0    0     0     6  166  100  0  0 100  0  0
 0  0 867304 4736440  14948 693584    0    0     0     0  191  110  0  0 100  0  0
 0  0 867304 4736440  14956 693584    0    0     0    14  155   94  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 867304 4736440  14956 693584    0    0     0     8  169   98  0  0 100  0  0
 0  0 867304 4736216  14956 693588    0    0     0     0  185  108  0  0 100  0  0
